complaint_id,customer_id,complaint_date,channel,complaint_category,complaint_subcategory,description,transaction_id,amount_affected,currency,priority,status,resolution_date,handling_team,satisfaction_score
C00032,CUST94080,12/01/2025,ATM,System Error,Failed Reversal,Failed Reversal reported via atm,TXN818198,22012,KES,Low,Resolved,15/01/2025,Finance Ops,4
C00033,CUST24208,01/01/2025,Mobile App,Erroneous Deduction,Double Debit,Double Debit reported via mobile app,,0,KES,Medium,In Progress,,Operations,
C00034,CUST67154,26/12/2024,Call Center,Erroneous Deduction,Phantom Debit,Phantom Debit reported via call center,TXN811635,12957,KES,Medium,In Progress,,Branch Operations,
C00035,CUST26334,13/01/2025,Branch,Delay,Complaint Handling Delay,Complaint Handling Delay reported via branch,TXN973903,41339,KES,Critical,In Progress,,IT Operations,
C00036,CUST98777,24/12/2024,Branch,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via branch,,0,KES,High,Resolved,28/12/2024,Operations,5
C00037,CUST98555,20/12/2024,Call Center,Erroneous Deduction,Phantom Debit,Phantom Debit reported via call center,TXN921893,38509,KES,Medium,Resolved,24/12/2024,IT Operations,5
C00038,CUST39444,12/01/2025,Mobile App,Delay,Card Delivery Delay,Card Delivery Delay reported via mobile app,,0,KES,High,Resolved,14/01/2025,Operations,4
C00039,CUST85454,19/12/2024,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,TXN965089,30346,KES,High,In Progress,,Customer Experience,
C00040,CUST33053,11/01/2025,ATM,System Error,Login Error,Login Error reported via atm,,0,KES,High,Resolved,15/01/2025,Finance Ops,3
C00041,CUST68008,31/12/2024,Call Center,Customer Service Failure,Rude Staff,Rude Staff reported via call center,TXN975001,9238,KES,Critical,Resolved,05/01/2025,Finance Ops,4
C00042,CUST92149,31/12/2024,Branch,Customer Service Failure,No Follow-up,No Follow-up reported via branch,,0,KES,High,Resolved,03/01/2025,Finance Ops,5
C00043,CUST40311,12/01/2025,Online Banking,Delay,Card Delivery Delay,Card Delivery Delay reported via online banking,,0,KES,Medium,Resolved,14/01/2025,Finance Ops,3
C00044,CUST86556,19/12/2024,Branch,System Error,ATM Failure,ATM Failure reported via branch,,0,KES,Medium,Resolved,23/12/2024,Customer Experience,5
C00045,CUST45774,15/12/2024,Mobile App,Customer Service Failure,Long Wait Time,Long Wait Time reported via mobile app,,0,KES,Medium,Resolved,19/12/2024,Operations,3
C00046,CUST61645,15/12/2024,Branch,Customer Service Failure,Long Wait Time,Long Wait Time reported via branch,,0,KES,Critical,In Progress,,Finance Ops,
C00047,CUST52840,15/12/2024,Branch,Delay,Card Delivery Delay,Card Delivery Delay reported via branch,TXN885813,17549,KES,Critical,Resolved,17/12/2024,Finance Ops,5
C00048,CUST95215,27/12/2024,Online Banking,Erroneous Deduction,Phantom Debit,Phantom Debit reported via online banking,TXN858778,3913,KES,High,In Progress,,IT Operations,
C00049,CUST83920,15/01/2025,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,,0,KES,Critical,Resolved,19/01/2025,Finance Ops,2
C00050,CUST50768,29/12/2024,ATM,Erroneous Deduction,Phantom Debit,Phantom Debit reported via atm,,0,KES,High,In Progress,,Branch Operations,
C00051,CUST99687,05/01/2025,Branch,System Error,Login Error,Login Error reported via branch,,0,KES,Low,Resolved,06/01/2025,Finance Ops,4
C00052,CUST23833,18/12/2024,Call Center,Delay,Complaint Handling Delay,Complaint Handling Delay reported via call center,TXN803316,42937,KES,High,Resolved,22/12/2024,Customer Experience,5
C00053,CUST70931,26/12/2024,ATM,Customer Service Failure,No Follow-up,No Follow-up reported via atm,TXN961457,43128,KES,Medium,Resolved,31/12/2024,Customer Experience,5
C00054,CUST54092,02/01/2025,ATM,Erroneous Deduction,Phantom Debit,Phantom Debit reported via atm,TXN949382,49683,KES,Medium,Resolved,07/01/2025,IT Operations,5
C00055,CUST21221,10/01/2025,ATM,Delay,Complaint Handling Delay,Complaint Handling Delay reported via atm,TXN945697,39569,KES,High,Resolved,11/01/2025,Operations,3
C00056,CUST50135,11/01/2025,Branch,System Error,App Crash,App Crash reported via branch,,0,KES,High,Resolved,15/01/2025,Customer Experience,3
C00057,CUST69473,26/12/2024,Call Center,Customer Service Failure,No Follow-up,No Follow-up reported via call center,TXN984249,22178,KES,High,In Progress,,Operations,
C00058,CUST73464,23/12/2024,ATM,System Error,ATM Failure,ATM Failure reported via atm,,0,KES,Medium,Resolved,25/12/2024,Operations,3
C00059,CUST17146,02/01/2025,ATM,Erroneous Deduction,Double Debit,Double Debit reported via atm,,0,KES,Medium,Resolved,05/01/2025,Operations,2
C00060,CUST72616,19/12/2024,Mobile App,Customer Service Failure,Rude Staff,Rude Staff reported via mobile app,,0,KES,Medium,Resolved,20/12/2024,Branch Operations,4
C00061,CUST83147,06/01/2025,Mobile App,System Error,Login Error,Login Error reported via mobile app,TXN822329,10277,KES,High,Resolved,08/01/2025,Branch Operations,2
C00062,CUST89905,03/01/2025,Branch,System Error,Login Error,Login Error reported via branch,TXN949062,28603,KES,Medium,Resolved,08/01/2025,Customer Experience,2
C00063,CUST69048,18/12/2024,Online Banking,System Error,App Crash,App Crash reported via online banking,,0,KES,Medium,Resolved,19/12/2024,IT Operations,5
C00064,CUST40595,30/12/2024,ATM,Erroneous Deduction,Double Debit,Double Debit reported via atm,,0,KES,High,In Progress,,Operations,
C00065,CUST31747,04/01/2025,Mobile App,System Error,Login Error,Login Error reported via mobile app,,0,KES,Medium,Resolved,05/01/2025,Branch Operations,2
C00066,CUST66626,03/01/2025,Mobile App,Erroneous Deduction,Phantom Debit,Phantom Debit reported via mobile app,TXN914755,18341,KES,High,Resolved,04/01/2025,Customer Experience,2
C00067,CUST98117,03/01/2025,Mobile App,Erroneous Deduction,Double Debit,Double Debit reported via mobile app,,0,KES,Critical,In Progress,,Finance Ops,
C00068,CUST74451,02/01/2025,Branch,Delay,Transaction Delay,Transaction Delay reported via branch,TXN966405,12394,KES,High,In Progress,,Branch Operations,
C00069,CUST74942,30/12/2024,Online Banking,Erroneous Deduction,Phantom Debit,Phantom Debit reported via online banking,TXN981842,22114,KES,High,In Progress,,Operations,
C00070,CUST64165,27/12/2024,Mobile App,Delay,Complaint Handling Delay,Complaint Handling Delay reported via mobile app,,0,KES,Medium,Resolved,01/01/2025,Operations,5
C00071,CUST13783,13/01/2025,Branch,System Error,Login Error,Login Error reported via branch,TXN983042,19376,KES,Medium,Resolved,17/01/2025,IT Operations,2
C00072,CUST94896,03/01/2025,Online Banking,System Error,App Crash,App Crash reported via online banking,,0,KES,Low,Resolved,07/01/2025,Branch Operations,2
C00073,CUST28958,30/12/2024,Online Banking,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via online banking,TXN944510,16473,KES,Critical,In Progress,,Customer Experience,
C00074,CUST47072,03/01/2025,Online Banking,System Error,ATM Failure,ATM Failure reported via online banking,,0,KES,Medium,In Progress,,Customer Experience,
C00075,CUST41300,02/01/2025,Branch,Customer Service Failure,Rude Staff,Rude Staff reported via branch,TXN919365,36114,KES,High,Resolved,05/01/2025,Branch Operations,3
C00076,CUST74923,22/12/2024,Online Banking,Customer Service Failure,Rude Staff,Rude Staff reported via online banking,,0,KES,High,In Progress,,Customer Experience,
C00077,CUST19807,19/12/2024,Branch,Erroneous Deduction,Double Debit,Double Debit reported via branch,,0,KES,High,Resolved,23/12/2024,IT Operations,3
C00078,CUST92155,23/12/2024,Branch,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via branch,TXN883010,35471,KES,Critical,In Progress,,IT Operations,
C00079,CUST66881,30/12/2024,Mobile App,Delay,Card Delivery Delay,Card Delivery Delay reported via mobile app,,0,KES,High,In Progress,,Finance Ops,
C00080,CUST29080,04/01/2025,ATM,Delay,Complaint Handling Delay,Complaint Handling Delay reported via atm,TXN893969,4177,KES,Critical,Resolved,07/01/2025,Operations,5
C00081,CUST40433,11/01/2025,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,,0,KES,High,Resolved,15/01/2025,IT Operations,3
C00082,CUST87014,23/12/2024,Mobile App,Customer Service Failure,Long Wait Time,Long Wait Time reported via mobile app,,0,KES,Critical,Resolved,27/12/2024,Customer Experience,4
C00083,CUST59986,28/12/2024,Online Banking,Erroneous Deduction,Phantom Debit,Phantom Debit reported via online banking,,0,KES,Critical,In Progress,,Finance Ops,
C00084,CUST89482,02/01/2025,Online Banking,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via online banking,,0,KES,Critical,Resolved,07/01/2025,IT Operations,2
C00085,CUST50492,24/12/2024,ATM,System Error,Failed Reversal,Failed Reversal reported via atm,,0,KES,High,Resolved,25/12/2024,Finance Ops,2
C00086,CUST80701,16/12/2024,ATM,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via atm,,0,KES,Critical,Resolved,18/12/2024,IT Operations,3
C00087,CUST28449,26/12/2024,Online Banking,Erroneous Deduction,Double Debit,Double Debit reported via online banking,,0,KES,Critical,Resolved,30/12/2024,Customer Experience,2
C00088,CUST98188,22/12/2024,Online Banking,Customer Service Failure,No Follow-up,No Follow-up reported via online banking,,0,KES,High,Resolved,26/12/2024,IT Operations,4
C00089,CUST93283,23/12/2024,Online Banking,Customer Service Failure,No Follow-up,No Follow-up reported via online banking,TXN959929,41102,KES,High,Resolved,25/12/2024,IT Operations,2
C00090,CUST80457,24/12/2024,ATM,Customer Service Failure,Rude Staff,Rude Staff reported via atm,,0,KES,Critical,Resolved,25/12/2024,IT Operations,3
C00091,CUST38477,12/01/2025,Call Center,System Error,Login Error,Login Error reported via call center,TXN873332,32569,KES,Critical,Resolved,13/01/2025,Finance Ops,4
C00092,CUST69600,22/12/2024,Online Banking,Erroneous Deduction,Double Debit,Double Debit reported via online banking,TXN872320,4468,KES,Critical,Resolved,24/12/2024,Branch Operations,2
C00093,CUST82641,08/01/2025,Online Banking,Delay,Transaction Delay,Transaction Delay reported via online banking,,0,KES,Critical,In Progress,,Finance Ops,
C00094,CUST80807,08/01/2025,ATM,Delay,Complaint Handling Delay,Complaint Handling Delay reported via atm,,0,KES,Low,In Progress,,Branch Operations,
C00095,CUST32838,20/12/2024,Mobile App,Delay,Card Delivery Delay,Card Delivery Delay reported via mobile app,TXN804136,16093,KES,Low,In Progress,,Finance Ops,
C00096,CUST69245,19/12/2024,Mobile App,Customer Service Failure,No Follow-up,No Follow-up reported via mobile app,,0,KES,High,In Progress,,IT Operations,
C00097,CUST65872,03/01/2025,Call Center,Delay,Card Delivery Delay,Card Delivery Delay reported via call center,TXN905281,4486,KES,High,In Progress,,Operations,
C00098,CUST69469,30/12/2024,Mobile App,Customer Service Failure,Rude Staff,Rude Staff reported via mobile app,TXN899851,18523,KES,High,Resolved,04/01/2025,Operations,4
C00099,CUST69441,28/12/2024,Mobile App,Delay,Card Delivery Delay,Card Delivery Delay reported via mobile app,,0,KES,High,Resolved,01/01/2025,Branch Operations,4
C00100,CUST22219,18/12/2024,Online Banking,Erroneous Deduction,Phantom Debit,Phantom Debit reported via online banking,,0,KES,Medium,Resolved,19/12/2024,Operations,2
C00101,CUST47700,26/12/2024,Call Center,System Error,ATM Failure,ATM Failure reported via call center,TXN974415,27422,KES,High,Resolved,30/12/2024,Branch Operations,2
C00102,CUST46512,26/12/2024,Call Center,Delay,Card Delivery Delay,Card Delivery Delay reported via call center,TXN945821,7592,KES,Medium,Resolved,29/12/2024,Finance Ops,2
C00103,CUST10800,28/12/2024,Online Banking,Delay,Card Delivery Delay,Card Delivery Delay reported via online banking,TXN892018,20749,KES,Medium,In Progress,,IT Operations,
C00104,CUST58503,07/01/2025,ATM,System Error,ATM Failure,ATM Failure reported via atm,TXN918920,25154,KES,Low,Resolved,10/01/2025,IT Operations,3
C00105,CUST89570,25/12/2024,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,TXN916159,5846,KES,High,Resolved,29/12/2024,Finance Ops,5
C00106,CUST38903,23/12/2024,Online Banking,System Error,ATM Failure,ATM Failure reported via online banking,TXN938132,39371,KES,Medium,Resolved,26/12/2024,Customer Experience,2
C00107,CUST25726,03/01/2025,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,TXN886015,17245,KES,Critical,In Progress,,Operations,
C00108,CUST67176,11/01/2025,Branch,Delay,Transaction Delay,Transaction Delay reported via branch,TXN818894,44281,KES,High,Resolved,15/01/2025,Branch Operations,2
C00109,CUST91018,06/01/2025,Call Center,System Error,Login Error,Login Error reported via call center,TXN805467,8048,KES,High,Resolved,09/01/2025,Customer Experience,3
C00110,CUST53655,26/12/2024,Mobile App,Delay,Complaint Handling Delay,Complaint Handling Delay reported via mobile app,TXN881336,5654,KES,High,Resolved,29/12/2024,Finance Ops,3
C00111,CUST29194,17/12/2024,Call Center,Delay,Card Delivery Delay,Card Delivery Delay reported via call center,,0,KES,Critical,Resolved,19/12/2024,Finance Ops,2
C00112,CUST92210,20/12/2024,ATM,System Error,ATM Failure,ATM Failure reported via atm,TXN978555,38476,KES,High,Resolved,25/12/2024,Customer Experience,4
C00113,CUST69233,29/12/2024,Branch,Delay,Complaint Handling Delay,Complaint Handling Delay reported via branch,,0,KES,High,Resolved,01/01/2025,Operations,5
C00114,CUST52143,10/01/2025,Mobile App,System Error,ATM Failure,ATM Failure reported via mobile app,,0,KES,High,Resolved,14/01/2025,Branch Operations,3
C00115,CUST76132,31/12/2024,Branch,System Error,ATM Failure,ATM Failure reported via branch,,0,KES,Critical,In Progress,,IT Operations,
C00116,CUST98984,16/12/2024,Branch,System Error,Login Error,Login Error reported via branch,TXN901558,24935,KES,High,Resolved,20/12/2024,Branch Operations,4
C00117,CUST86380,04/01/2025,Online Banking,Erroneous Deduction,Double Debit,Double Debit reported via online banking,,0,KES,High,Resolved,07/01/2025,IT Operations,2
C00118,CUST53054,26/12/2024,Branch,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via branch,TXN968687,20788,KES,High,In Progress,,Finance Ops,
C00119,CUST35166,31/12/2024,Branch,Delay,Card Delivery Delay,Card Delivery Delay reported via branch,,0,KES,Medium,Resolved,03/01/2025,Branch Operations,5
C00120,CUST88282,07/01/2025,Online Banking,Delay,Transaction Delay,Transaction Delay reported via online banking,,0,KES,High,Resolved,10/01/2025,IT Operations,3
C00121,CUST40671,20/12/2024,Branch,System Error,App Crash,App Crash reported via branch,TXN960063,16066,KES,High,Resolved,23/12/2024,IT Operations,5
C00122,CUST31241,24/12/2024,Online Banking,Customer Service Failure,Rude Staff,Rude Staff reported via online banking,TXN931833,18966,KES,Critical,Resolved,29/12/2024,Branch Operations,5
C00123,CUST31012,03/01/2025,Mobile App,System Error,Failed Reversal,Failed Reversal reported via mobile app,,0,KES,Critical,Resolved,06/01/2025,Customer Experience,2
C00124,CUST61964,31/12/2024,Mobile App,System Error,Login Error,Login Error reported via mobile app,TXN813960,2247,KES,Critical,In Progress,,Finance Ops,
C00125,CUST28035,22/12/2024,Online Banking,Customer Service Failure,Rude Staff,Rude Staff reported via online banking,TXN838285,47338,KES,Low,In Progress,,Finance Ops,
C00126,CUST29597,12/01/2025,Branch,Delay,Card Delivery Delay,Card Delivery Delay reported via branch,TXN856532,1745,KES,High,In Progress,,Customer Experience,
C00127,CUST88215,03/01/2025,Online Banking,Customer Service Failure,Rude Staff,Rude Staff reported via online banking,TXN816464,28013,KES,Medium,Resolved,04/01/2025,Finance Ops,5
C00128,CUST18870,04/01/2025,Online Banking,System Error,App Crash,App Crash reported via online banking,TXN849103,37899,KES,Low,Resolved,05/01/2025,Customer Experience,4
C00129,CUST56805,01/01/2025,Branch,Delay,Complaint Handling Delay,Complaint Handling Delay reported via branch,,0,KES,High,In Progress,,IT Operations,
C00130,CUST92802,26/12/2024,Call Center,System Error,ATM Failure,ATM Failure reported via call center,,0,KES,Medium,Resolved,30/12/2024,Operations,5
C00131,CUST77552,07/01/2025,Branch,Delay,Card Delivery Delay,Card Delivery Delay reported via branch,,0,KES,Medium,Resolved,10/01/2025,IT Operations,4
C00132,CUST26315,01/01/2025,Mobile App,Customer Service Failure,Long Wait Time,Long Wait Time reported via mobile app,TXN871622,3632,KES,Medium,In Progress,,Finance Ops,
C00133,CUST20828,28/12/2024,Branch,Customer Service Failure,No Follow-up,No Follow-up reported via branch,TXN896297,45855,KES,Medium,Resolved,02/01/2025,Customer Experience,4
C00134,CUST31842,17/12/2024,ATM,Customer Service Failure,No Follow-up,No Follow-up reported via atm,TXN880346,21990,KES,Medium,Resolved,21/12/2024,Branch Operations,5
C00135,CUST77251,26/12/2024,Online Banking,Customer Service Failure,Rude Staff,Rude Staff reported via online banking,,0,KES,Critical,Resolved,30/12/2024,Branch Operations,4
C00136,CUST89310,20/12/2024,Call Center,Delay,Transaction Delay,Transaction Delay reported via call center,TXN894935,42781,KES,Low,Resolved,24/12/2024,Customer Experience,2
C00137,CUST24869,12/01/2025,Branch,System Error,Failed Reversal,Failed Reversal reported via branch,TXN970278,26585,KES,High,Resolved,15/01/2025,IT Operations,3
C00138,CUST74382,07/01/2025,Call Center,System Error,Login Error,Login Error reported via call center,,0,KES,Medium,Resolved,12/01/2025,IT Operations,4
C00139,CUST18511,07/01/2025,ATM,Delay,Complaint Handling Delay,Complaint Handling Delay reported via atm,TXN986001,21444,KES,Critical,In Progress,,Customer Experience,
C00140,CUST13445,24/12/2024,ATM,Erroneous Deduction,Double Debit,Double Debit reported via atm,,0,KES,High,Resolved,26/12/2024,Operations,5
C00141,CUST63665,02/01/2025,Call Center,Erroneous Deduction,Phantom Debit,Phantom Debit reported via call center,TXN987939,20769,KES,High,Resolved,06/01/2025,Finance Ops,5
C00142,CUST75911,17/12/2024,Mobile App,System Error,Failed Reversal,Failed Reversal reported via mobile app,,0,KES,High,Resolved,19/12/2024,Customer Experience,5
C00143,CUST20336,16/12/2024,ATM,Delay,Card Delivery Delay,Card Delivery Delay reported via atm,,0,KES,Medium,Resolved,19/12/2024,Operations,4
C00144,CUST83874,04/01/2025,Online Banking,Erroneous Deduction,Double Debit,Double Debit reported via online banking,,0,KES,High,Resolved,06/01/2025,Branch Operations,4
C00145,CUST75278,05/01/2025,Call Center,Delay,Transaction Delay,Transaction Delay reported via call center,,0,KES,High,In Progress,,Operations,
C00146,CUST19564,01/01/2025,Online Banking,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via online banking,TXN918893,27113,KES,Medium,In Progress,,Customer Experience,
C00147,CUST27139,20/12/2024,Branch,Customer Service Failure,Long Wait Time,Long Wait Time reported via branch,TXN992466,20985,KES,Medium,Resolved,23/12/2024,Customer Experience,5
C00148,CUST60351,31/12/2024,ATM,Delay,Complaint Handling Delay,Complaint Handling Delay reported via atm,,0,KES,Medium,Resolved,01/01/2025,Customer Experience,4
C00149,CUST50441,28/12/2024,Online Banking,System Error,App Crash,App Crash reported via online banking,TXN934932,10942,KES,High,Resolved,01/01/2025,Branch Operations,5
C00150,CUST47453,17/12/2024,Branch,Customer Service Failure,No Follow-up,No Follow-up reported via branch,TXN929733,3812,KES,Medium,Resolved,22/12/2024,Finance Ops,5
C00151,CUST57516,18/12/2024,Online Banking,Customer Service Failure,Rude Staff,Rude Staff reported via online banking,,0,KES,High,Resolved,23/12/2024,Operations,3
C00152,CUST26864,17/12/2024,Branch,Customer Service Failure,No Follow-up,No Follow-up reported via branch,,0,KES,Medium,In Progress,,Branch Operations,
C00153,CUST15100,27/12/2024,Call Center,Erroneous Deduction,Phantom Debit,Phantom Debit reported via call center,TXN931092,33865,KES,High,Resolved,28/12/2024,Operations,2
C00154,CUST87820,10/01/2025,ATM,System Error,Login Error,Login Error reported via atm,TXN842598,40678,KES,Critical,Resolved,14/01/2025,Branch Operations,4
C00155,CUST92478,31/12/2024,Call Center,Customer Service Failure,No Follow-up,No Follow-up reported via call center,,0,KES,High,Resolved,04/01/2025,Operations,4
C00156,CUST85047,12/01/2025,Mobile App,System Error,App Crash,App Crash reported via mobile app,TXN838738,47763,KES,High,Resolved,14/01/2025,Branch Operations,2
C00157,CUST18163,18/12/2024,Branch,System Error,ATM Failure,ATM Failure reported via branch,TXN931548,13862,KES,High,Resolved,23/12/2024,Operations,5
C00158,CUST56437,31/12/2024,Branch,System Error,Failed Reversal,Failed Reversal reported via branch,TXN943202,30624,KES,Medium,In Progress,,Branch Operations,
C00159,CUST37168,04/01/2025,Branch,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via branch,,0,KES,Critical,Resolved,07/01/2025,Finance Ops,4
C00160,CUST85166,30/12/2024,Online Banking,Erroneous Deduction,Phantom Debit,Phantom Debit reported via online banking,TXN831948,18421,KES,Critical,In Progress,,Branch Operations,
C00161,CUST95979,27/12/2024,ATM,Customer Service Failure,Long Wait Time,Long Wait Time reported via atm,TXN915966,5679,KES,Low,In Progress,,Operations,
C00162,CUST41779,30/12/2024,Call Center,System Error,App Crash,App Crash reported via call center,,0,KES,Critical,Resolved,04/01/2025,Operations,3
C00163,CUST82135,13/01/2025,ATM,Delay,Card Delivery Delay,Card Delivery Delay reported via atm,,0,KES,Medium,Resolved,15/01/2025,IT Operations,2
C00164,CUST94659,20/12/2024,Branch,Customer Service Failure,No Follow-up,No Follow-up reported via branch,TXN874819,19324,KES,High,In Progress,,Customer Experience,
C00165,CUST34420,06/01/2025,Mobile App,Delay,Card Delivery Delay,Card Delivery Delay reported via mobile app,TXN929861,2881,KES,High,In Progress,,Finance Ops,
C00166,CUST94058,24/12/2024,Online Banking,Delay,Transaction Delay,Transaction Delay reported via online banking,TXN919104,22457,KES,High,In Progress,,Branch Operations,
C00167,CUST11846,30/12/2024,Online Banking,System Error,Login Error,Login Error reported via online banking,TXN969944,48414,KES,Critical,Resolved,02/01/2025,Finance Ops,3
C00168,CUST28430,24/12/2024,Call Center,System Error,App Crash,App Crash reported via call center,TXN975441,6184,KES,Critical,Resolved,25/12/2024,Customer Experience,3
C00169,CUST44282,22/12/2024,Branch,Delay,Complaint Handling Delay,Complaint Handling Delay reported via branch,TXN952688,22102,KES,High,Resolved,27/12/2024,Finance Ops,2
C00170,CUST58174,22/12/2024,Mobile App,Delay,Card Delivery Delay,Card Delivery Delay reported via mobile app,TXN980955,33433,KES,Medium,Resolved,23/12/2024,Customer Experience,4
C00171,CUST42435,22/12/2024,ATM,System Error,Login Error,Login Error reported via atm,TXN998534,27752,KES,High,Resolved,27/12/2024,Customer Experience,3
C00172,CUST85065,03/01/2025,Branch,Delay,Card Delivery Delay,Card Delivery Delay reported via branch,,0,KES,High,Resolved,04/01/2025,Branch Operations,3
C00173,CUST76895,20/12/2024,Branch,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via branch,,0,KES,High,In Progress,,IT Operations,
C00174,CUST43352,16/12/2024,Call Center,Customer Service Failure,Rude Staff,Rude Staff reported via call center,TXN989603,30802,KES,High,Resolved,17/12/2024,Customer Experience,5
